"id","professional","helpful","positive","efficient","skilful","trustworthy","kind","confident","sincere","intelligent","fair","hardworking","sender_gender","appropriateness","gender","age","education","emoji_usage","culture","formality","emoji","study","competence","warmness"
107,4,4,4,4,4,4,4,4,4,4,4,4,"male",3,"female",18,"secondary school",5,"hungarian",0,"non_face_emoji","study2",0.510398048140949,0.0664208910637204
108,1,4,5,3,2,3,4,4,4,3,4,4,"female",2,"female",20,"secondary school",3,"hungarian",0,"non_face_emoji","study2",-0.906116312577017,0.892907323656543
121,3,4,4,4,3,3,3,4,3,2,4,4,"female",3,"female",21,"secondary school",5,"hungarian",0,"non_face_emoji","study2",-0.255252663343364,-0.301897024528566
125,1,3,3,1,1,2,4,2,4,2,4,2,"female",1,"female",16,"primary school",1,"hungarian",0,"non_face_emoji","study2",-2.00239332840758,-0.22943321852112
127,4,5,5,5,5,5,5,5,5,5,5,5,"female",4,"female",18,"secondary school",4,"hungarian",0,"non_face_emoji","study2",1.31493515721828,1.45680145460548
129,5,4,5,5,5,5,5,5,5,5,5,5,"male",5,"female",15,"primary school",5,"hungarian",0,"non_face_emoji","study2",1.4712611346683,1.11003481736572
131,1,4,3,2,3,3,4,2,3,3,4,4,"female",5,"female",18,"primary school",5,"hungarian",0,"non_face_emoji","study2",-0.977131931682117,-0.180382985177111
135,2,4,4,3,3,3,4,5,5,3,3,3,"male",2,"female",21,"secondary school",4,"hungarian",0,"non_face_emoji","study2",-0.554603829912204,0.447025885933077
70,4,5,5,3,5,4,5,5,4,3,4,4,"male",3,"female",16,"primary school",2,"hungarian",0,"non_face_emoji","study2",0.330075355854242,1.12356112378344
143,3,3,4,5,4,3,3,4,4,4,3,3,"female",3,"female",15,"primary school",4,"hungarian",0,"non_face_emoji","study2",0.200008930999759,-0.636875789294221
153,3,4,4,4,4,4,5,5,5,5,5,5,"female",3,"female",21,"secondary school",4,"hungarian",0,"non_face_emoji","study2",0.722724098317101,0.998968484077013
2,5,4,4,5,4,4,4,5,4,5,4,4,"female",5,"female",43,"bachelor",3,"hungarian",1,"non_face_emoji","study2",1.12883862009618,-0.0688316047927058
12,5,4,4,3,3,2,3,5,4,4,3,3,"female",5,"female",22,"secondary school",4,"hungarian",1,"non_face_emoji","study2",0.119470899085326,-0.629919310348371
23,4,5,4,4,4,5,4,5,4,5,5,4,"female",5,"female",20,"secondary school",4,"hungarian",1,"non_face_emoji","study2",1.04428676534083,0.439074463732594
27,4,4,4,4,4,4,4,4,4,4,4,4,"female",4,"male",46,"bachelor",4,"hungarian",1,"non_face_emoji","study2",0.510398048140949,0.0664208910637204
32,3,4,4,4,4,3,4,3,3,5,4,3,"female",3,"male",22,"secondary school",4,"hungarian",1,"non_face_emoji","study2",0.131882803669771,-0.221357794889907
33,5,5,5,5,5,5,2,5,5,5,5,5,"female",5,"female",21,"secondary school",5,"hungarian",1,"non_face_emoji","study2",1.76499276827257,0.162017885425686
37,4,4,4,4,4,4,4,4,4,4,4,4,"male",5,"male",53,"master",2,"hungarian",1,"non_face_emoji","study2",0.510398048140949,0.0664208910637204
40,5,4,3,4,3,4,4,3,2,4,4,4,"male",4,"female",21,"bachelor",5,"hungarian",1,"non_face_emoji","study2",0.473418278774408,-0.897472568920002
47,3,5,4,5,4,4,2,5,2,4,5,5,"female",4,"female",28,"bachelor",3,"hungarian",1,"non_face_emoji","study2",0.95050734800618,-0.553361478748795
51,4,4,3,2,3,3,3,5,2,4,2,3,"female",4,"female",20,"secondary school",4,"hungarian",1,"non_face_emoji","study2",-0.104245296669522,-1.42305417878297
95,5,4,4,3,4,4,5,4,4,4,3,3,"female",4,"female",21,"secondary school",4,"hungarian",1,"non_face_emoji","study2",0.274490273395668,0.123878180911023
107,3,3,3,3,3,3,3,3,3,3,3,3,"male",3,"female",18,"secondary school",5,"hungarian",1,"non_face_emoji","study2",-0.480504683143218,-1.19538353899988
108,3,5,4,4,3,4,4,3,4,4,4,4,"female",3,"female",20,"secondary school",3,"hungarian",1,"non_face_emoji","study2",0.0826046435606824,0.384643640396682
